Page URL,User URLs
https://www.goodreads.com/author_followings?id=8073645&method=get&page=1,"https://www.goodreads.com/user/show/10375408-nadia-jasmine, https://www.goodreads.com/user/show/63328534-shreyashi-das, https://www.goodreads.com/user/show/69925392-arabinda, https://www.goodreads.com/user/show/81462725-babli, https://www.goodreads.com/user/show/103379100-anwesha, https://www.goodreads.com/user/show/143475700-sangita-debnath, https://www.goodreads.com/user/show/168610791-pampa-bakshi"
https://www.goodreads.com/author_followings?id=6451670&method=get&page=1,"https://www.goodreads.com/user/show/2794691-ash, https://www.goodreads.com/user/show/10702420-meher, https://www.goodreads.com/user/show/13626551-lutfor, https://www.goodreads.com/user/show/23465309-ashraful-islam-apu, https://www.goodreads.com/user/show/35398958-nuary, https://www.goodreads.com/user/show/35836325-mohammad-hossain, https://www.goodreads.com/user/show/38607947-faruk, https://www.goodreads.com/user/show/38927457-tamzida, https://www.goodreads.com/user/show/40949137, https://www.goodreads.com/user/show/41316013-s-m-hridoy, https://www.goodreads.com/user/show/42467816-mahdi-hassan, https://www.goodreads.com/user/show/42934633-mou-goswami, https://www.goodreads.com/user/show/43107172-subham-paul, https://www.goodreads.com/user/show/45214031-shompa, https://www.goodreads.com/user/show/47005423-tousifnc, https://www.goodreads.com/user/show/47005820-nilimesh-pramanik, https://www.goodreads.com/user/show/47363512-fateha-farzana, https://www.goodreads.com/user/show/47502198-arafat-noyon, https://www.goodreads.com/user/show/47906839-junayed, https://www.goodreads.com/user/show/49881285-sbn-kawsar-mahmud, https://www.goodreads.com/user/show/52571555-thouhid-al-mahmud, https://www.goodreads.com/user/show/55483861-maruf-hossain, https://www.goodreads.com/user/show/56044560-dyuti, https://www.goodreads.com/user/show/61490383-barsha, https://www.goodreads.com/user/show/62646917-shazia-afrin, https://www.goodreads.com/user/show/63451170-goutam-dey, https://www.goodreads.com/user/show/67737937-ar-dipu, https://www.goodreads.com/user/show/68863604-arup-ghosal, https://www.goodreads.com/user/show/71925729-jane-hussain, https://www.goodreads.com/user/show/71990659-atosi-mondal"
https://www.goodreads.com/author_followings?id=6937141&method=get&page=1,"https://www.goodreads.com/user/show/10375408-nadia-jasmine, https://www.goodreads.com/user/show/16453484-tasfia-promy, https://www.goodreads.com/user/show/21046196-sleepwalker, https://www.goodreads.com/user/show/28061750-senjuti, https://www.goodreads.com/user/show/33950673-shahriar-kabir, https://www.goodreads.com/user/show/44484712-sadia-afrin, https://www.goodreads.com/user/show/45925602-james-malo, https://www.goodreads.com/user/show/48545557-md-noman-bhuiyan, https://www.goodreads.com/user/show/50299840-mahabub-alam, https://www.goodreads.com/user/show/99366031-s-m-mehrab, https://www.goodreads.com/user/show/110679324-zawwad-raihan, https://www.goodreads.com/user/show/111107804-saiful-islam, https://www.goodreads.com/user/show/154182958-sagor-reza, https://www.goodreads.com/user/show/164583271-khairul"
https://www.goodreads.com/author_followings?id=702024&method=get&page=1,"https://www.goodreads.com/user/show/866385-salina-aziz, https://www.goodreads.com/user/show/2656567-abu-daud-khan, https://www.goodreads.com/user/show/4018932-soumyabrata-ghosh, https://www.goodreads.com/user/show/4154978-sarwar-hossain, https://www.goodreads.com/user/show/7905322-ami, https://www.goodreads.com/user/show/11761106-sayan-das, https://www.goodreads.com/user/show/12704299-sandipan-chakrabarty, https://www.goodreads.com/user/show/13500841-nita, https://www.goodreads.com/user/show/14954650-g-s, https://www.goodreads.com/user/show/15581460-sb, https://www.goodreads.com/user/show/18832009-ashutosh-malaviya, https://www.goodreads.com/user/show/20589588-anirban-roy, https://www.goodreads.com/author/show/17621228.Shahidul_Nahid, https://www.goodreads.com/user/show/23499299-swapan-krishna, https://www.goodreads.com/user/show/25227924-dipu-hasan, https://www.goodreads.com/author/show/21820279.Muhammad_Ahsan_Nahiyan, https://www.goodreads.com/user/show/27605157-shaurav-saha, https://www.goodreads.com/user/show/28672151-payel, https://www.goodreads.com/user/show/29637863-shishir, https://www.goodreads.com/user/show/31023595-sanchaita-das, https://www.goodreads.com/user/show/34209449-sreeparna-chowdhury, https://www.goodreads.com/user/show/35711632-domoyonti-bidorbho, https://www.goodreads.com/user/show/36250549-teerna-sinha, https://www.goodreads.com/user/show/40441715-monidipa-mondal, https://www.goodreads.com/user/show/44012958-oronnok-prithibi, https://www.goodreads.com/user/show/44789629-a-slow-reader, https://www.goodreads.com/user/show/48887404-nitish, https://www.goodreads.com/user/show/51922474-payel-sarkar, https://www.goodreads.com/user/show/53088520-mrinal-sarkar, https://www.goodreads.com/user/show/54960664-rakhi-mukherji"
https://www.goodreads.com/author_followings?id=7268131&method=get&page=1,"https://www.goodreads.com/user/show/8415010-priyanka-mitra, https://www.goodreads.com/user/show/10375408-nadia-jasmine, https://www.goodreads.com/user/show/12575470-abdullah-imran, https://www.goodreads.com/user/show/20170271-gourab-sarkar, https://www.goodreads.com/user/show/20212953-shomi-sengupta, https://www.goodreads.com/user/show/21892589-chapal-mahtab, https://www.goodreads.com/user/show/27664296-chaity-podder, https://www.goodreads.com/user/show/34521694-sushobhan-biswas, https://www.goodreads.com/user/show/44484712-sadia-afrin, https://www.goodreads.com/user/show/45606093-taib-islam, https://www.goodreads.com/user/show/46151770-sabbir-ahmmed, https://www.goodreads.com/user/show/53059254-mishuk-rahman, https://www.goodreads.com/user/show/58766100-nazrul-islam, https://www.goodreads.com/user/show/60215941-ratna-begum, https://www.goodreads.com/user/show/67923426-mriganka-roy, https://www.goodreads.com/user/show/70536277-md-omar-faruk, https://www.goodreads.com/user/show/82323084-md-shoriful, https://www.goodreads.com/user/show/82381312-zahin-wadud, https://www.goodreads.com/user/show/84855996-rahul-mir, https://www.goodreads.com/user/show/125216161-shohel-samad, https://www.goodreads.com/user/show/154182958-sagor-reza, https://www.goodreads.com/user/show/163577864-anirban-deep, https://www.goodreads.com/user/show/164650774"
https://www.goodreads.com/author_followings?id=6565925&method=get&page=1,"https://www.goodreads.com/user/show/5461933-bornik-c, https://www.goodreads.com/user/show/8292456-s, https://www.goodreads.com/author/show/7797333.Anamitra_Roy, https://www.goodreads.com/user/show/10788324-sarit, https://www.goodreads.com/user/show/11362368-shounak-baksi, https://www.goodreads.com/user/show/15268274-shibajee-samaddar, https://www.goodreads.com/user/show/15581460-sb, https://www.goodreads.com/user/show/22519276, https://www.goodreads.com/user/show/24479166-tamal-kar, https://www.goodreads.com/user/show/26593101-adideb-mukhopadhyay, https://www.goodreads.com/user/show/27913520-rana-pratap, https://www.goodreads.com/user/show/36801917-shahed-ashiqur, https://www.goodreads.com/user/show/51383308-abhijit-roy-chowdhury, https://www.goodreads.com/user/show/52692975, https://www.goodreads.com/user/show/56262782-hasan-chatak, https://www.goodreads.com/user/show/60405442-pabitra-narayan, https://www.goodreads.com/user/show/96588681-prasun-basu, https://www.goodreads.com/user/show/120879735-mehzabin-hridy, https://www.goodreads.com/user/show/127436700-abdul-kaium, https://www.goodreads.com/user/show/140896313-max, https://www.goodreads.com/user/show/158364639-arpita-bhowmick, https://www.goodreads.com/user/show/166666494-euna"
https://www.goodreads.com/author_followings?id=196836&method=get&page=1,No user URLs found
https://www.goodreads.com/author_followings?id=24893203&method=get&page=1,No user URLs found
https://www.goodreads.com/author_followings?id=4859146&method=get&page=1,"https://www.goodreads.com/user/show/5007792-utsav, https://www.goodreads.com/user/show/14882692-muhammad-sadequzzaman-sharif, https://www.goodreads.com/user/show/17977243-somali, https://www.goodreads.com/user/show/20589588-anirban-roy, https://www.goodreads.com/author/show/17621228.Shahidul_Nahid, https://www.goodreads.com/user/show/28032117, https://www.goodreads.com/user/show/31255544-satabdi-bhattacharya, https://www.goodreads.com/user/show/35811694-suman-samui, https://www.goodreads.com/user/show/40006528-shaid-zaman, https://www.goodreads.com/user/show/40446459-nazim, https://www.goodreads.com/user/show/59420746-tanoy-bhowal, https://www.goodreads.com/user/show/63738351-quresha-syeda, https://www.goodreads.com/user/show/66207809-samadrita-deb, https://www.goodreads.com/user/show/73483551, https://www.goodreads.com/user/show/83770521-ramli-shore, https://www.goodreads.com/user/show/84134502-moumita-giri, https://www.goodreads.com/user/show/110679324-zawwad-raihan, https://www.goodreads.com/user/show/139244630-s-chow, https://www.goodreads.com/user/show/165964463-debonil-sarkar, https://www.goodreads.com/user/show/166666494-euna, https://www.goodreads.com/user/show/169397168-biva-biswas, https://www.goodreads.com/user/show/177116173-amit-kumar, https://www.goodreads.com/user/show/181035489-sayantan-dutta"
https://www.goodreads.com/author_followings?id=7902982&method=get&page=1,"https://www.goodreads.com/user/show/8897238-elina-sen, https://www.goodreads.com/user/show/10788324-sarit, https://www.goodreads.com/user/show/11362368-shounak-baksi, https://www.goodreads.com/user/show/29121359-sourav-ganguly, https://www.goodreads.com/user/show/35711632-domoyonti-bidorbho, https://www.goodreads.com/user/show/35933104-marza, https://www.goodreads.com/user/show/39557368-fayzullah-anan, https://www.goodreads.com/user/show/40182882-tanvir-akanda, https://www.goodreads.com/user/show/44448230-anika-azad, https://www.goodreads.com/user/show/46653985-jayanta-datta, https://www.goodreads.com/user/show/50073246-tanveer-rahat, https://www.goodreads.com/user/show/54148987-heisenberg, https://www.goodreads.com/user/show/57618142-sudip, https://www.goodreads.com/user/show/58237694-abdullah-khan, https://www.goodreads.com/user/show/65467890-rashid-sakib, https://www.goodreads.com/user/show/69603632-muhammad-abdul-baased, https://www.goodreads.com/user/show/81832000-tuhin-hossain, https://www.goodreads.com/user/show/82218082-james-das, https://www.goodreads.com/user/show/84448513, https://www.goodreads.com/user/show/84571194-tanjil-mahamud, https://www.goodreads.com/user/show/110679324-zawwad-raihan, https://www.goodreads.com/user/show/111107804-saiful-islam, https://www.goodreads.com/user/show/115637712-subhajit-roy, https://www.goodreads.com/user/show/120240724-nakshatra-roy, https://www.goodreads.com/user/show/121284894-abul-basar-pias, https://www.goodreads.com/user/show/124110714-notoblivious, https://www.goodreads.com/user/show/141434926, https://www.goodreads.com/user/show/156596081-gaurab-nath, https://www.goodreads.com/user/show/158364639-arpita-bhowmick, https://www.goodreads.com/user/show/177122084-sonali-chanda"
