Author,transformed_url
https://www.goodreads.com/author/show/6552477.Hasan_Azizul_Huq?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6552477.Hasan_Azizul_Huq?page=3&per_page=30
https://www.goodreads.com/author/show/27967434.Hasnat_Abdul_Hye_?from_search=true&from_srp=true,https://www.goodreads.com/author/list/27967434.Hasnat_Abdul_Hye_?page=3&per_page=30
https://www.goodreads.com/author/show/5763426.Rizia_Rahman?from_search=true&from_srp=true,https://www.goodreads.com/author/list/5763426.Rizia_Rahman?page=3&per_page=30
https://www.goodreads.com/author/show/7780330.Rahat_Khan?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7780330.Rahat_Khan?page=3&per_page=30
https://www.goodreads.com/author/show/7276239.Sasthipada_Chattopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7276239.Sasthipada_Chattopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/5708275.Abdul_Mannan_Syed?from_search=true&from_srp=true,https://www.goodreads.com/author/list/5708275.Abdul_Mannan_Syed?page=3&per_page=30
https://www.goodreads.com/author/show/6896310.Ahmed_Sofa?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6896310.Ahmed_Sofa?page=3&per_page=30
https://www.goodreads.com/author/show/4859149.Samaresh_Majumdar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4859149.Samaresh_Majumdar?page=3&per_page=30
https://www.goodreads.com/author/show/1081546.Nirmalendu_Goon?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1081546.Nirmalendu_Goon?page=3&per_page=30
https://www.goodreads.com/author/show/7205174.Prabir_Ghosh?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7205174.Prabir_Ghosh?page=3&per_page=30
https://www.goodreads.com/author/show/8129412.Humayun_Azad?from_search=true&from_srp=true,https://www.goodreads.com/author/list/8129412.Humayun_Azad?page=3&per_page=30
https://www.goodreads.com/author/show/4282780.Taradas_Bandyopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4282780.Taradas_Bandyopadhyay?page=3&per_page=30
