URL,Details
https://www.goodreads.com/user/show/16615635-hitessh,"Age 54, Male, Mumbai, 67, India"
https://www.goodreads.com/user/show/12430250-pallavi-kamat,"Mumbai, India"
https://www.goodreads.com/user/show/22139383-surbhi-verma,"Kozhikode, 13, India"
https://www.goodreads.com/user/show/100109309-tasmeem,Bangladesh
https://www.goodreads.com/user/show/6143388-avadhut,Avadhut hasn't added any details yet.
https://www.goodreads.com/user/show/2327087-neha-gupta,N/A
https://www.goodreads.com/user/show/139865-brijesh-kartha,Brijesh Kartha hasn't added any details yet.
https://www.goodreads.com/user/show/8676317-civilisation-freedom-of-speech,"Surat, 24, India"
https://www.goodreads.com/user/show/126540559-ipsita,"Age 26, Female, Kolkata, India, India"
https://www.goodreads.com/user/show/129925075-tashrif-arefin,N/A
https://www.goodreads.com/user/show/52092570-rohit-sharma,"Pune, India"
https://www.goodreads.com/user/show/108440721-prathamesh-sharma,India
https://www.goodreads.com/user/show/42022278-mit,"Age 27, Male, India"
https://www.goodreads.com/user/show/27868108-ritu-mantri,"Age 40, Visakhapatnam, 02, India"
https://www.goodreads.com/user/show/1620336-srinivas-veeraraghavan,"Age 39, Kigali, Rwanda"
https://www.goodreads.com/user/show/20541025-shahriar-shafin,Bangladesh
https://www.goodreads.com/user/show/14694521-kaustubh-dudhane,"Male, Navi Mumbai, India"
https://www.goodreads.com/user/show/94210007-afifa-habib,"Age 22, Female, Kallyanpur, Dhaka"
https://www.goodreads.com/user/show/68826790-suchona-hasnat,Age 27
https://www.goodreads.com/user/show/29536825-leenaa-fahmida,Leenaa Fahmida hasn't added any details yet.
https://www.goodreads.com/user/show/55110868-bj,BJ hasn't added any details yet.
https://www.goodreads.com/user/show/17969689-niradhip,Niradhip hasn't added any details yet.
https://www.goodreads.com/user/show/115764833-austin-george,"Age 33, Male, Hyderabad, India"
https://www.goodreads.com/user/show/83003223-navid-hyder-rijo,N/A
https://www.goodreads.com/user/show/24725433-ahmed-aziz,Dhaka
https://www.goodreads.com/user/show/5509951-ansarul-karim-jamee,"Dhaka, 81"
https://www.goodreads.com/user/show/53265969-moumita-hride,Age 31
https://www.goodreads.com/user/show/44320074-benozir-ahmed,"Dhaka, 81"
https://www.goodreads.com/user/show/18720326-purba-chakraborty,N/A
https://www.goodreads.com/user/show/44693788-mridul,Dhaka
https://www.goodreads.com/user/show/30667387-nakib-hasan,N/A
https://www.goodreads.com/user/show/132889203-pranta-biswas,"Age 27, Dhaka, 81"
https://www.goodreads.com/user/show/49369412,Female
https://www.goodreads.com/user/show/147288911-susmita-sarker,N/A
https://www.goodreads.com/user/show/134630512-maysha-maliha-mite,"Age 22, Female, Dhaka, 81"
https://www.goodreads.com/user/show/36464297-gorab,"Udaipur, India"
https://www.goodreads.com/user/show/16386336-arman-r-khan,Dhaka
https://www.goodreads.com/user/show/7763745-a-m-faisal,"Age 30, Male, Dhaka"
https://www.goodreads.com/user/show/41359514-megha-chakraborty,"Age 34, Mumbai, Bilaspur, India"
https://www.goodreads.com/user/show/138961992-najmul-bin-yousuf,"Mirpur, 84"
https://www.goodreads.com/user/show/22941029-farhan,Farhan hasn't added any details yet.
https://www.goodreads.com/user/show/5486168-dyuti,"Age 32, Birmingham, UK, The United Kingdom"
https://www.goodreads.com/user/show/28681296-azmain-tur-haque,Azmain Tur Haque hasn't added any details yet.
https://www.goodreads.com/user/show/50903942,"Age 30, Dhaka"
https://www.goodreads.com/user/show/136530604-nur-mohammad-sabbir,N/A
https://www.goodreads.com/user/show/167450600-bishu-dey,Bangladesh
https://www.goodreads.com/user/show/31461937-avishek-bhattacharjee,"Male, Dhaka"
https://www.goodreads.com/user/show/22716963-emtiaj,Male
https://www.goodreads.com/user/show/121278685,"Age 25, Male, Chattogram"
https://www.goodreads.com/user/show/45214031-shompa,France
https://www.goodreads.com/user/show/89157872-supratim,Male
https://www.goodreads.com/user/show/114385346,Female
https://www.goodreads.com/user/show/59940985-sourojit-das,"Age 32, Dublin, 9, Ireland"
https://www.goodreads.com/user/show/83680214-livresque,"Age 28, Male"
https://www.goodreads.com/user/show/127798020-sabit-ara-orpa,"New York, NY"
https://www.goodreads.com/user/show/25308543-sohan-ridwan,"Age 35, Male, Rajshahi, Rajshahi"
https://www.goodreads.com/user/show/14890879-aniruddha-sengupta,"Calcutta, 28, India"
https://www.goodreads.com/user/show/114172854-setraj-jahan,Bangladesh
https://www.goodreads.com/user/show/15448395-nusrat-jahan,Nusrat Jahan hasn't added any details yet.
https://www.goodreads.com/user/show/128516035-shukla-das,"Seoul, 11"
https://www.goodreads.com/user/show/70321740,N/A
https://www.goodreads.com/user/show/27786765-nahar-trina,Nahar  Trina hasn't added any details yet.
https://www.goodreads.com/user/show/13818989-muna,Bangladesh
https://www.goodreads.com/user/show/125322286-injamamul-haque-joy,"Age 22, Jersey City, NJ"
https://www.goodreads.com/user/show/12945161-syeda-ahad,N/A
https://www.goodreads.com/user/show/90312110-titu-acharjee,"Age 27, Bangladesh"
https://www.goodreads.com/user/show/47165369-nabila-mushtarin,"Age 30, Female"
https://www.goodreads.com/user/show/32472309-jahid-hasan,Dhaka
