book_id,url
123023430,https://www.goodreads.com/book/show/123023430-lunar-new-year-love-story
127278666,https://www.goodreads.com/book/show/127278666-the-fox-wife
181344829,https://www.goodreads.com/book/show/181344829-bride
63232917,https://www.goodreads.com/book/show/63232917
207694049,https://www.goodreads.com/book/show/207694049
59025743,https://www.goodreads.com/book/show/59025743
32711317,https://www.goodreads.com/book/show/32711317
608883,https://www.goodreads.com/book/show/608883.Town_of_Evening_Calm_Country_of_Cherry_Blossoms
57803996,https://www.goodreads.com/book/show/57803996
57402063,https://www.goodreads.com/book/show/57402063
18213441,https://www.goodreads.com/book/show/18213441
58941475,https://www.goodreads.com/book/show/58941475--
53883905,https://www.goodreads.com/book/show/53883905
58816655,https://www.goodreads.com/book/show/58816655
16123795,https://www.goodreads.com/book/show/16123795
40961230,https://www.goodreads.com/book/show/40961230-the-travelling-cat-chronicles
23010041,https://www.goodreads.com/book/show/23010041
20942979,https://www.goodreads.com/book/show/20942979
20808902,https://www.goodreads.com/book/show/20808902
28234753,https://www.goodreads.com/book/show/28234753-alma-and-how-she-got-her-name
17402528,https://www.goodreads.com/book/show/17402528
32721720,https://www.goodreads.com/book/show/32721720
53316316,https://www.goodreads.com/book/show/53316316
34145958,https://www.goodreads.com/book/show/34145958
29245063,https://www.goodreads.com/book/show/29245063
12152934,https://www.goodreads.com/book/show/12152934-typography-sketchbooks
402252,https://www.goodreads.com/book/show/402252.Ethel_and_Ernest
848254,https://www.goodreads.com/book/show/848254.Vincent_by_Himself
5326,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
42397875,https://www.goodreads.com/book/show/42397875
16240792,https://www.goodreads.com/book/show/16240792-make-good-art
416530,https://www.goodreads.com/book/show/416530.The_Restaurant_of_Many_Orders
165305,https://www.goodreads.com/book/show/165305.The_Flying_Classroom
125190,https://www.goodreads.com/book/show/125190.Swallows_and_Amazons
961329,https://www.goodreads.com/book/show/961329.When_Marnie_Was_There
19311,https://www.goodreads.com/book/show/19311.The_Children_of_Noisy_Village
34321781,https://www.goodreads.com/book/show/34321781
4070095,https://www.goodreads.com/book/show/4070095-asterios-polyp
386765,https://www.goodreads.com/book/show/386765.The_Enchanted_Castle_and_Five_Children_and_It
16054808,https://www.goodreads.com/book/show/16054808-escape-from-mr-lemoncello-s-library
36501790,https://www.goodreads.com/book/show/36501790-to-kill-a-mockingbird
40090596,https://www.goodreads.com/book/show/40090596-art-matters
17402605,https://www.goodreads.com/book/show/17402605-the-alchemyst
